Creative Commons CC-BY-NC-SA, v3.0	http://purl.org/NET/rdflicense/cc-by-nc-sa3.0
Creative Commons CC-BY-ND 3.0 France, v3.0	http://purl.org/NET/rdflicense/cc-by-nd3.0fr
Creative Commons CC-BY-ND 3.0 Greece, v3.0	http://purl.org/NET/rdflicense/cc-by-nd3.0gr
Creative Commons CC-BY-ND 3.0 Italy, v3.0	http://purl.org/NET/rdflicense/cc-by-nd3.0it
Creative Commons CC-BY-ND 3.0 Netherlands, v3.0	http://purl.org/NET/rdflicense/cc-by-nd3.0nl
Creative Commons CC-BY-ND 3.0 Portugal, v3.0	http://purl.org/NET/rdflicense/cc-by-nd3.0pt
Creative Commons CC-BY-ND 3.0 Romania, v3.0	http://purl.org/NET/rdflicense/cc-by-nd3.0ro
Creative Commons CC-BY-ND 3.0 Spain, v3.0	http://purl.org/NET/rdflicense/cc-by-nd3.0es
Creative Commons CC-BY-ND 3.0 Venezuela, v3.0	http://purl.org/NET/rdflicense/cc-by-nd3.0ve
Creative Commons CC-BY-ND Australia, v3.0	http://purl.org/NET/rdflicense/cc-by-nd3.0au
Creative Commons CC-BY-ND Austria, v3.0	http://purl.org/NET/rdflicense/cc-by-nd3.0at
Creative Commons CC-BY-ND Belgium, v2.0	http://purl.org/NET/rdflicense/cc-by-nd2.0be
Creative Commons CC-BY-ND Brazil, v3.0	http://purl.org/NET/rdflicense/cc-by-nd3.0br
Creative Commons CC-BY-ND Chile, v3.0	http://purl.org/NET/rdflicense/cc-by-nd3.0cl
Creative Commons CC-BY-ND China, v3.0	http://purl.org/NET/rdflicense/cc-by-nd3.0cn
Creative Commons CC-BY-ND Denmark, v2.5	http://purl.org/NET/rdflicense/cc-by-nd2.5dk
Creative Commons CC-BY-ND Ecuador, v3.0	http://purl.org/NET/rdflicense/cc-by-nd3.0ec
Creative Commons CC-BY-ND Germany, v3.0	http://purl.org/NET/rdflicense/cc-by-nd3.0de
Creative Commons CC-BY-ND Ireland, v3.0	http://purl.org/NET/rdflicense/cc-by-nd3.0ie
Creative Commons CC-BY-ND Switzerland, v3.0	http://purl.org/NET/rdflicense/cc-by-nd3.0ch
Creative Commons CC-BY-ND, v2.0	http://purl.org/NET/rdflicense/cc-by-nd2.0
Creative Commons CC-BY-ND, v3.0	http://purl.org/NET/rdflicense/cc-by-nd3.0
Creative Commons CC-BY-SA 3.0 Australia, v3.0	http://purl.org/NET/rdflicense/cc-by-sa3.0au
Creative Commons CC-BY-SA 3.0 Austria, v3.0	http://purl.org/NET/rdflicense/cc-by-sa3.0at
Creative Commons CC-BY-SA 3.0 Brazil, v3.0	http://purl.org/NET/rdflicense/cc-by-sa3.0br
Creative Commons CC-BY-SA 3.0 Chile, v3.0	http://purl.org/NET/rdflicense/cc-by-sa3.0cl
Creative Commons CC-BY-SA 3.0 China, v3.0	http://purl.org/NET/rdflicense/cc-by-sa3.0cn
Creative Commons CC-BY-SA 3.0 Ecuador, v3.0	http://purl.org/NET/rdflicense/cc-by-sa3.0ec
Creative Commons CC-BY-SA 3.0 France, v3.0	http://purl.org/NET/rdflicense/cc-by-sa3.0fr
Creative Commons CC-BY-SA 3.0 Germany, v3.0	http://purl.org/NET/rdflicense/cc-by-sa3.0de
Creative Commons CC-BY-SA 3.0 Greece, v3.0	http://purl.org/NET/rdflicense/cc-by-sa3.0gr
Creative Commons CC-BY-SA 3.0 Italy, v3.0	http://purl.org/NET/rdflicense/cc-by-sa3.0it
Creative Commons CC-BY-SA 3.0 Spain, v3.0	http://purl.org/NET/rdflicense/cc-by-sa3.0es
Creative Commons CC-BY-SA 3.0 Switzerland, v3.0	http://purl.org/NET/rdflicense/cc-by-sa3.0ch
Creative Commons CC-BY-SA Ireland, v3.0	http://purl.org/NET/rdflicense/cc-by-sa3.0ie
Creative Commons CC-BY-SA Netherlands, v3.0	http://purl.org/NET/rdflicense/cc-by-sa3.0nl
Creative Commons CC-BY-SA Portugal, v3.0	http://purl.org/NET/rdflicense/cc-by-sa3.0pt
Creative Commons CC-BY-SA Romania, v3.0	http://purl.org/NET/rdflicense/cc-by-sa3.0ro
Creative Commons CC-BY-SA Venezuela, v3.0	http://purl.org/NET/rdflicense/cc-by-sa3.0ve
Creative Commons CC-BY-SA, v2.0	http://purl.org/NET/rdflicense/cc-by-sa2.0
Creative Commons CC-BY-SA, v3.0	http://purl.org/NET/rdflicense/cc-by-sa3.0
Cryptix General License	http://purl.org/NET/rdflicense/CRYPTIX1.0
Eclipse Public License, v1.0	http://purl.org/NET/rdflicense/ECLIPSE1.0
European Commission Copyright, v1.0	http://purl.org/NET/rdflicense/EUC1.0
European Union Public License, v1.1	http://purl.org/NET/rdflicense/EUPL1.1
Free BSD Documentation License	http://purl.org/NET/rdflicense/FREEBSD1.0
GFDL, v1.1	http://purl.org/NET/rdflicense/gfdl1.1
GFDL, v1.3	http://purl.org/NET/rdflicense/fal1.3
GFDL, v1.3	http://purl.org/NET/rdflicense/gfdl1.3
